County,2016 Population,Violent Crime,Violent Crime Rate,Violent Crime With Firearm,Violent Crime With Firearm Rate,,
Albany,"308,401","1,099",356.4,126,40.9,,
Allegany,"46,858",81,172.9,5,10.7,,
Bronx,"1,458,255","13,817",947.5,*,,,
Broome,"194,518",640,329.0,57,29.3,,
Cattaraugus,"75,126",138,183.7,12,16.0,,
Cayuga,"77,462",184,237.5,14,18.1,,
Chautauqua,"129,139",356,275.7,57,44.1,,
Chemung,"86,124",172,199.7,23,26.7,,
Chenango,"48,229",99,205.3,4,8.3,,
Clinton,"80,553",135,167.6,7,8.7,,
Columbia,"60,806",100,164.5,12,19.7,,
Cortland,"48,022",43,89.5,2,4.2,,
Delaware,"44,601",98,219.7,4,9.0,,
Dutchess,"293,404",566,192.9,70,23.9,,
Erie,"917,172","3,792",413.4,"1,154",125.8,,
Essex,"36,615",58,158.4,4,10.9,,
Franklin,"50,135",108,215.4,7,14.0,,
Fulton,"53,221",150,281.8,10,18.8,,
Genesee,"58,209",127,218.2,9,15.5,,
Greene,"47,019",104,221.2,5,10.6,,
Hamilton,"4,657",5,107.4,0,0.0,,
Herkimer,"62,419",121,193.9,5,8.0,,
Jefferson,"117,080",281,240.0,24,20.5,,
Kings,"2,641,827","15,523",587.6,*,,,
Lewis,"26,758",30,112.1,3,11.2,,
Livingston,"64,186",91,141.8,8,12.5,,
Madison,"71,064",122,171.7,5,7.0,,
Monroe,"745,585","2,482",332.9,786,105.4,,
Montgomery,"49,187",83,168.7,8,16.3,,
Nassau,"1,356,246","1,826",134.6,314,23.2,,
New York,"1,647,694","8,839",536.4,*,,,
Niagara,"210,491",850,403.8,163,77.4,,
Oneida,"230,500",661,286.8,111,48.2,,
Onondaga,"465,564","1,415",303.9,303,65.1,,
Ontario,"109,105",164,150.3,12,11.0,,
Orange,"375,993",904,240.4,179,47.6,,
Orleans,"41,061",78,190.0,9,21.9,,
Oswego,"118,961",265,222.8,15,12.6,,
Otsego,"59,929",90,150.2,7,11.7,,
Putnam,"98,238",37,37.7,2,2.0,,
Queens,"2,343,667","9,356",399.2,*,,,
Rensselaer,"159,384",472,296.1,87,54.6,,
Richmond,"475,474","1,589",334.2,*,,,
Rockland,"326,643",384,117.6,30,9.2,,
St Lawrence,"110,113",173,157.1,14,12.7,,
Saratoga,"225,997",256,113.3,13,5.8,,
