State,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,1997,4319000,24379,426,1396,,6931,15626,186809,43786,127616,15407,564.5,9.9,32.3,,160.5,361.8,4325.3,1013.8,2954.8,356.7
Alabama,1998,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871,512.1,8.1,33.2,,130.9,339.9,4085,964.3,2779,341.7
Alabama,1999,4369862,21421,345,1513,,5297,14266,171398,38648,119616,13134,490.2,7.9,34.6,,121.2,326.5,3922.3,884.4,2737.3,300.6
Alabama,2000,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809,486.2,7.4,33.3,,128.2,317.2,4059.7,906.9,2864.8,288
Alabama,2001,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619,438.2,8.5,30.6,,125,274.1,3876.8,909.4,2685,282.4
Alabama,2002,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890,445,6.8,37.2,,133.1,268,4027.8,950.6,2767,310.1
Alabama,2003,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957,429.2,6.6,36.8,,134.1,251.7,4046.4,960.2,2754.1,332.1
Alabama,2004,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024,427,5.6,38.5,,133.5,249.4,4029.3,987,2732.4,309.9
Alabama,2005,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140,433,8.2,34.4,,141.7,248.3,3900,955.8,2656,289
Alabama,2006,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018,425.2,8.3,35.8,,153.6,227.5,3941,973.7,2640.8,326.5
Alabama,2007,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238,448.9,8.9,33.4,,159.9,246.7,3977.7,980.6,2689.5,307.7
